feature,n,routed_frr,routed_net,ef32_frr,ef32_net,steer_frr,steer_net
"intensifiers",7,0.4286,,0.4286,,1.0000,0.2500
"non_synecdoche_metonymy",7,0.8571,,0.8571,,0.8571,0.8571
"past_participle",7,0.8571,,0.8571,,0.7143,0.3810
"possessive_form",7,1.0000,,1.0000,,1.0000,0.3333
"tag_questions",7,1.0000,,1.0000,,1.0000,0.2500
"temporal_prefix",7,0.5000,,0.3333,,0.5000,0.5000
"linking_verb",6,0.5000,,1.0000,,0.1667,0.1667
"representative",6,0.8333,,1.0000,,0.5000,0.5000
"temporal",6,0.8000,,0.8000,,0.8000,0.5500
"transitive_verb",6,1.0000,,1.0000,,1.0000,0.0000
"coordination",5,1.0000,,1.0000,,1.0000,0.0000
"given_known",5,0.8000,,0.8000,,0.6000,-0.4000
"non_defining_relative_clauses",5,1.0000,,1.0000,,1.0000,1.0000
"spatial",5,1.0000,,1.0000,,0.0000,0.0000
"s_genitive",4,1.0000,,1.0000,,1.0000,1.0000
