feature,n,ef32_exact,ef32_sari,steer_exact,steer_sari,routed_exact,routed_sari,oracle_exact,oracle_sari
"punctual_durative",12,0.2500,63.16,0.0833,58.77,0.2500,61.28,0.3333,73.67
"referring",12,0.4167,71.24,0.4167,66.27,0.4167,71.52,0.6667,82.82
"relative_clauses",12,0.0000,49.84,0.1667,60.22,0.0833,61.61,0.1667,64.61
"telic_atelic",12,0.0833,60.64,0.1667,67.00,0.0833,60.64,0.2500,71.44
"universal_quantifiers",12,0.0000,57.55,0.0000,63.12,0.0000,59.82,0.0000,67.14
"adverbial_suffix",11,0.0909,45.34,0.0000,53.97,0.0909,45.34,0.0909,57.90
"appositives",11,0.0000,41.09,0.0000,6.89,0.0000,29.48,0.0000,41.09
"deixis",11,0.2727,66.87,0.1818,61.50,0.2727,65.03,0.2727,71.82
"deontic",11,0.7273,90.97,0.4545,66.15,0.8182,93.09,0.9091,96.12
"existential_quantifiers",11,0.5455,66.58,0.0909,46.92,0.5455,66.58,0.5455,70.33
"future",11,0.2727,73.82,0.6364,83.64,0.2727,73.82,0.7273,93.12
"nominal_adverbials",11,0.0909,61.93,0.0000,50.65,0.0909,58.34,0.0909,66.32
"noun_plural",11,0.7273,87.65,0.0000,33.47,0.7273,85.63,0.7273,87.65
"personification",11,0.0000,63.91,0.0000,62.44,0.0000,61.63,0.0000,67.60
"present_progressive",11,0.2727,75.45,0.6364,89.90,0.3636,79.12,0.7273,92.17
"quantifier",11,0.1818,53.56,0.1818,36.90,0.1818,53.56,0.3636,60.63
"static_dynamic",11,0.1818,69.59,0.3636,78.05,0.2727,76.53,0.3636,81.76
"comparative",10,0.4000,67.72,0.0000,34.66,0.4000,67.72,0.4000,69.02
"declaration",10,0.3000,60.12,0.1000,37.17,0.3000,61.52,0.4000,66.76
"expletive",10,0.2000,66.91,0.5000,78.96,0.2000,68.46,0.6000,83.41
"expressive",10,0.3000,62.43,0.3000,61.08,0.5000,76.30,0.6000,83.39
"first_conditional",10,0.0000,44.24,0.0000,49.03,0.0000,51.82,0.0000,57.07
"interrogative",10,0.0000,54.12,0.7000,83.92,0.5000,73.66,0.7000,87.12
"metaphor",10,0.0000,67.67,0.0000,66.18,0.0000,64.76,0.0000,69.96
"middle_verb",10,0.0000,65.20,0.3000,65.52,0.1000,75.32,0.3000,82.59
"object_expletives",10,0.0000,52.89,0.1000,64.85,0.0000,59.62,0.1000,66.12
"optative",10,0.1000,62.32,0.5000,92.55,0.4000,79.23,0.5000,92.55
"past",10,0.6000,74.30,0.5000,83.63,0.6000,74.30,0.8000,92.80
"past_tense",10,0.7000,90.00,0.0000,48.25,0.7000,90.00,0.7000,90.00
"politeness",10,0.1000,51.52,0.5000,84.52,0.3000,77.02,0.6000,90.32
"present_participle",10,0.2000,66.80,0.5000,83.33,0.2000,66.80,0.6000,86.67
"resultative",10,0.0000,38.18,0.0000,19.18,0.0000,34.82,0.0000,38.18
"subject_verb_inversion",10,0.0000,41.00,0.2000,61.92,0.2000,58.96,0.2000,63.94
"agentive_suffix",9,0.1111,53.19,0.1111,42.34,0.1111,53.19,0.2222,63.48
"existential",9,0.0000,39.72,0.3333,64.82,0.2222,57.23,0.3333,66.19
"hyperbole",9,0.0000,73.33,0.1111,66.38,0.0000,71.98,0.1111,78.81
"indirect_speech",9,0.0000,45.70,0.0000,60.39,0.0000,47.13,0.0000,60.95
"intransitive_verb",9,0.0000,70.15,0.0000,64.26,0.0000,67.53,0.0000,71.22
"noun_clauses",9,0.1111,70.24,0.1111,54.60,0.1111,66.94,0.2222,77.19
"past_progressive",9,0.2222,67.57,0.5556,86.24,0.2222,68.65,0.5556,86.24
"present_perfect",9,0.4444,78.13,0.5556,75.10,0.4444,78.13,0.6667,86.15
"quantitative_prefix",9,0.0000,59.10,0.0000,49.33,0.0000,56.76,0.0000,63.47
"superlative",9,0.6667,79.96,0.1111,46.09,0.6667,79.96,0.7778,83.66
"anaphor",8,0.8750,90.69,0.1250,47.67,0.8750,90.69,0.8750,90.95
"clausal_subjects",8,0.0000,45.90,0.6250,77.50,0.3750,63.62,0.6250,85.49
"copular_be",8,0.2500,69.98,0.1250,43.47,0.2500,63.21,0.2500,70.99
"count_nouns",8,0.0000,59.95,0.0000,42.07,0.0000,50.49,0.0000,62.43
"direct_object",8,0.0000,62.98,0.0000,53.68,0.0000,53.92,0.0000,66.24
"discourse_markers",8,0.1250,55.21,0.1250,50.56,0.1250,56.42,0.2500,65.26
"euphemism",8,0.0000,68.84,0.3750,80.84,0.0000,68.84,0.3750,83.70
"factives",8,0.0000,42.93,0.0000,31.28,0.0000,39.04,0.0000,47.36
"futurates",8,0.8750,96.15,1.0000,100.00,0.8750,96.15,1.0000,100.00
"negation_prefix",8,0.5000,72.78,0.1250,67.33,0.5000,78.16,0.5000,85.85
"subject_auxiliary_inversion",8,0.0000,32.85,0.5000,73.65,0.2500,59.03,0.5000,78.77
"subjunctive_mood",8,0.2500,75.07,0.3750,83.66,0.3750,81.31,0.3750,85.22
"verbal_suffix",8,0.1250,47.09,0.0000,34.09,0.1250,42.50,0.1250,52.48
"imperative_sentence",7,0.1429,44.75,0.1429,44.71,0.1429,44.13,0.1429,49.39
"intensifiers",7,0.2857,58.78,0.0000,11.17,0.2857,58.78,0.2857,58.78
"non_synecdoche_metonymy",7,0.8571,90.69,0.8571,96.03,0.8571,90.69,1.0000,100.00
"past_participle",7,0.2857,69.64,0.0000,36.36,0.2857,66.34,0.2857,69.64
"possessive_form",7,0.7143,88.71,0.0000,21.22,0.7143,88.71,0.7143,88.71
"tag_questions",7,0.0000,61.83,0.4286,84.34,0.2857,76.54,0.4286,87.03
"temporal_prefix",7,0.0000,48.31,0.0000,53.83,0.0000,54.46,0.0000,60.75
"linking_verb",6,0.0000,61.20,0.0000,52.69,0.0000,49.43,0.0000,65.13
"representative",6,0.0000,44.57,0.1667,51.77,0.0000,46.66,0.1667,59.75
"temporal",6,0.3333,80.31,0.5000,69.48,0.3333,71.31,0.5000,84.12
"transitive_verb",6,0.5000,84.72,0.5000,78.29,0.5000,84.72,0.8333,95.83
"coordination",5,0.8000,92.12,0.0000,24.54,0.8000,83.99,0.8000,92.12
"given_known",5,0.6000,72.21,0.0000,38.92,0.6000,72.21,0.6000,72.21
"non_defining_relative_clauses",5,0.0000,31.19,0.0000,60.02,0.0000,54.17,0.0000,60.02
"spatial",5,0.2000,76.54,0.0000,47.53,0.2000,76.54,0.2000,76.54
"s_genitive",4,0.5000,79.00,0.2500,90.07,0.7500,95.62,0.7500,95.62
