feature,n,ef32_exact,ef32_sari,ef64_exact,ef64_sari,steer_exact,steer_sari,clamp_exact,clamp_sari,prompt_exact,prompt_sari,pipeline_exact,pipeline_sari,routed_exact,routed_sari,oracle_exact,oracle_sari
"static_dynamic",8,0.2500,73.06,0.3750,78.09,0.5000,82.27,0.1250,56.81,0.1250,69.04,0.0000,43.06,0.3750,79.68,0.6250,91.32
"third_person_singular",8,0.5000,74.88,0.1250,64.21,0.0000,55.13,0.1250,44.53,0.0000,30.30,0.0000,47.62,0.5000,74.88,0.5000,84.49
"turn_taking",8,0.1250,56.27,0.2500,60.99,0.2500,55.82,0.3750,66.90,0.1250,47.58,0.1250,60.17,0.1250,56.27,0.5000,81.97
"directive",7,0.2857,73.50,0.2857,68.20,0.1429,52.08,0.0000,40.49,0.0000,50.63,0.1429,55.04,0.2857,73.04,0.5714,86.71
"epistemic",7,0.5714,75.46,0.7143,85.66,0.4286,65.61,0.7143,77.65,0.2857,67.72,0.4286,73.24,0.5714,76.26,1.0000,100.00
"extraposition",7,0.0000,32.09,0.0000,28.15,0.0000,35.93,0.0000,23.97,0.1429,53.30,0.0000,16.56,0.0000,34.40,0.1429,57.08
"interrogative",7,0.0000,55.19,0.1429,60.60,0.5714,77.02,0.2857,61.96,0.0000,31.96,0.4286,57.97,0.4286,69.37,0.5714,82.69
"of_genitive",7,0.1429,78.86,0.1429,73.89,0.7143,87.31,0.2857,64.08,0.2857,65.03,0.0000,25.81,0.4286,80.92,1.0000,100.00
"personification",7,0.0000,65.31,0.0000,66.71,0.0000,64.57,0.1429,63.36,0.1429,71.07,0.1429,61.18,0.0000,64.76,0.4286,86.54
"punctual_durative",7,0.2857,61.88,0.2857,59.57,0.1429,60.42,0.2857,73.04,0.0000,55.20,0.0000,24.50,0.2857,58.67,0.5714,85.79
"referring",7,0.4286,72.86,0.1429,58.55,0.4286,66.32,0.0000,50.58,0.1429,58.36,0.0000,55.53,0.4286,72.86,0.7143,90.36
"elliptical_sentences",6,0.0000,43.25,0.1667,49.77,0.0000,13.18,0.0000,42.98,0.0000,32.64,0.1667,49.66,0.0000,41.57,0.1667,60.44
"future_perfect",6,0.8333,93.38,0.8333,93.38,1.0000,100.00,0.1667,49.65,0.0000,57.01,0.5000,76.23,0.8333,93.38,1.0000,100.00
"mass_noun",6,0.1667,60.34,0.1667,63.82,0.1667,59.93,0.1667,46.51,0.0000,45.12,0.1667,45.87,0.3333,75.53,0.3333,81.84
"middle_verb",6,0.0000,60.35,0.0000,56.28,0.3333,70.92,0.0000,36.37,0.0000,31.90,0.0000,31.25,0.1667,77.22,0.3333,85.16
"nominal_suffix",6,0.3333,69.89,0.1667,48.16,0.0000,30.49,0.0000,40.12,0.0000,54.45,0.0000,34.35,0.3333,69.89,0.5000,83.33
"noun_plural",6,0.5000,77.36,0.6667,84.66,0.0000,37.74,0.0000,41.84,0.0000,52.90,0.0000,26.72,0.5000,73.65,0.6667,90.37
"past_participle_irregular",6,0.0000,26.64,0.0000,23.69,0.0000,33.64,0.0000,32.49,0.0000,29.09,0.0000,20.42,0.0000,26.64,0.0000,41.44
"past_perfect",6,0.5000,85.05,0.3333,75.95,0.6667,86.06,0.1667,70.14,0.0000,63.05,0.0000,28.26,0.6667,86.06,0.8333,96.18
"past_tense_irregular",6,0.3333,71.72,0.1667,65.27,0.1667,50.39,0.3333,60.81,0.0000,31.97,0.1667,38.07,0.3333,71.72,0.5000,84.23
"quantifier",6,0.0000,46.94,0.1667,56.95,0.1667,35.87,0.0000,42.42,0.0000,42.84,0.0000,32.93,0.0000,46.94,0.3333,77.08
"subject_verb_inversion",6,0.0000,41.56,0.0000,36.59,0.0000,51.05,0.0000,46.73,0.0000,55.78,0.0000,19.26,0.0000,51.05,0.0000,69.34
"subjunctive_mood",6,0.1667,75.76,0.0000,62.21,0.3333,80.99,0.3333,71.82,0.0000,63.87,0.0000,12.91,0.3333,77.85,0.5000,91.52
"superlative",6,0.6667,82.35,0.8333,87.91,0.1667,55.93,0.0000,44.71,0.0000,43.83,0.3333,47.47,0.6667,82.35,0.8333,89.33
"telic_atelic",6,0.1667,68.43,0.1667,62.69,0.1667,68.12,0.1667,57.41,0.0000,38.77,0.0000,37.80,0.1667,68.43,0.6667,91.11
"universal_quantifiers",6,0.0000,59.10,0.0000,51.45,0.0000,56.42,0.0000,58.45,0.0000,39.95,0.0000,42.35,0.0000,54.46,0.0000,72.07
"echo_questions",5,0.0000,35.46,0.0000,42.49,0.0000,26.51,0.0000,20.72,0.0000,29.20,0.0000,18.17,0.0000,29.93,0.0000,46.23
"euphemism",5,0.0000,72.65,0.4000,82.84,0.4000,81.84,0.0000,67.08,0.0000,64.94,0.0000,48.56,0.0000,72.65,0.8000,95.75
"first_conditional",5,0.0000,43.44,0.0000,38.42,0.0000,48.80,0.0000,34.13,0.0000,40.13,0.0000,29.46,0.0000,48.80,0.0000,62.36
"indirect_speech",5,0.0000,44.41,0.0000,51.12,0.0000,58.22,0.0000,52.56,0.0000,40.83,0.0000,6.30,0.0000,44.75,0.0000,63.04
"politeness",5,0.0000,34.00,0.0000,42.69,0.4000,87.58,0.0000,31.83,0.0000,42.70,0.0000,43.06,0.2000,74.31,0.4000,87.58
"present_participle",5,0.0000,61.78,0.0000,59.87,0.6000,86.67,0.6000,82.33,0.2000,63.03,0.0000,23.61,0.0000,61.78,0.8000,93.33
"present_perfect",5,0.2000,67.30,0.4000,65.65,0.4000,72.89,0.8000,86.14,0.0000,57.33,0.4000,48.19,0.2000,67.30,0.8000,90.59
"synecdoche",5,0.0000,54.02,0.0000,54.52,0.2000,52.87,0.0000,47.64,0.2000,72.26,0.4000,70.70,0.0000,52.71,0.4000,83.29
"adverbial_suffix",4,0.0000,42.67,0.0000,40.51,0.0000,61.50,0.0000,51.42,0.0000,45.66,0.0000,39.04,0.0000,42.67,0.0000,68.45
"agentive_suffix",4,0.0000,57.20,0.0000,47.73,0.0000,42.53,0.0000,35.42,0.0000,48.24,0.0000,57.20,0.0000,57.20,0.0000,66.67
"comparative",4,0.2500,66.18,0.5000,74.51,0.0000,34.28,0.0000,42.48,0.0000,48.59,0.0000,33.58,0.2500,66.18,0.5000,75.50
"declaration",4,0.2500,54.65,0.2500,56.61,0.0000,33.52,0.0000,22.37,0.0000,32.70,0.0000,59.62,0.2500,58.16,0.2500,69.99
"direct_object",4,0.0000,60.03,0.0000,61.96,0.0000,57.78,0.0000,15.50,0.0000,38.70,0.0000,19.38,0.0000,52.85,0.0000,67.66
"discourse_markers",4,0.2500,57.71,0.2500,75.00,0.2500,62.76,0.7500,85.86,0.2500,57.58,0.0000,58.98,0.2500,57.71,1.0000,100.00
"expletive",4,0.2500,67.53,0.0000,56.54,0.2500,67.19,0.0000,33.93,0.0000,46.44,0.0000,10.73,0.0000,58.51,0.5000,82.27
"factives",4,0.0000,38.97,0.2500,65.81,0.0000,35.81,0.2500,44.63,0.0000,36.29,0.0000,30.19,0.0000,42.73,0.2500,65.81
"futurates",4,0.7500,92.30,0.2500,79.10,1.0000,100.00,0.7500,89.44,0.7500,94.29,0.0000,33.27,0.7500,92.30,1.0000,100.00
"imperative_sentence",4,0.2500,51.65,0.0000,54.58,0.2500,48.44,0.2500,42.95,0.0000,46.58,0.0000,51.56,0.2500,50.57,0.5000,77.22
"intransitive_verb",4,0.0000,71.77,0.0000,63.75,0.0000,61.81,0.0000,49.56,0.0000,64.14,0.5000,84.97,0.0000,65.87,0.5000,86.36
"negation_prefix",4,0.2500,63.26,0.2500,50.88,0.0000,64.81,0.2500,68.84,0.0000,34.36,0.5000,72.90,0.2500,63.26,1.0000,100.00
"non_synecdoche_metonymy",4,1.0000,100.00,0.7500,86.42,0.7500,93.06,0.2500,66.68,0.5000,60.88,1.0000,100.00,1.0000,100.00,1.0000,100.00
"object_expletives",4,0.0000,55.57,0.0000,59.88,0.0000,68.62,0.0000,30.45,0.2500,59.11,0.2500,28.89,0.0000,65.30,0.2500,78.56
"past_participle",4,0.2500,72.71,0.0000,43.78,0.0000,38.99,0.0000,21.67,0.0000,38.13,0.0000,33.81,0.2500,66.94,0.2500,72.71
"possessive_form",4,0.7500,94.07,0.2500,54.07,0.0000,24.79,0.0000,60.97,0.0000,26.00,0.0000,18.44,0.7500,94.07,0.7500,94.07
"present_progressive",4,0.0000,61.39,0.0000,63.40,0.5000,84.72,0.2500,72.92,0.5000,75.62,0.0000,24.58,0.2500,70.07,1.0000,100.00
"relative_clauses",4,0.0000,56.45,0.0000,57.62,0.5000,81.69,0.2500,43.36,0.2500,64.48,0.0000,14.17,0.2500,73.36,0.7500,87.53
"resultative",4,0.0000,39.89,0.0000,36.33,0.0000,21.08,0.0000,55.76,0.0000,42.81,0.0000,29.43,0.0000,35.41,0.0000,62.65
"subject_auxiliary_inversion",4,0.0000,34.17,0.0000,51.27,0.5000,79.40,0.2500,47.20,0.5000,67.76,0.2500,51.29,0.0000,41.82,0.7500,89.40
"verbal_suffix",4,0.0000,52.40,0.0000,57.23,0.0000,34.95,0.0000,40.80,0.0000,28.85,0.0000,57.12,0.0000,43.21,0.0000,68.20
"anaphor",3,1.0000,100.00,1.0000,100.00,0.3333,50.57,0.3333,66.31,0.6667,82.08,0.3333,77.78,1.0000,100.00,1.0000,100.00
"clausal_subjects",3,0.0000,45.66,0.0000,70.43,0.6667,94.34,0.0000,51.50,0.3333,67.24,0.0000,16.86,0.3333,80.45,0.6667,94.34
"copular_be",3,0.3333,79.11,0.0000,68.19,0.0000,26.11,0.3333,44.63,0.0000,43.39,0.0000,8.65,0.3333,79.11,0.3333,79.11
"count_nouns",3,0.0000,65.05,0.0000,59.07,0.0000,43.98,0.0000,38.03,0.0000,28.49,0.0000,26.12,0.0000,52.96,0.0000,65.79
"existential",3,0.0000,37.07,0.0000,44.46,0.6667,86.34,0.3333,58.90,0.6667,86.34,0.0000,24.90,0.3333,68.87,0.6667,86.34
"hyperbole",3,0.0000,77.22,0.3333,73.61,0.0000,72.41,0.0000,46.06,0.0000,39.81,0.0000,9.63,0.0000,77.96,0.3333,89.35
"intensifiers",3,0.0000,47.35,0.3333,68.38,0.0000,11.38,0.3333,43.54,0.3333,49.76,0.3333,56.77,0.0000,47.35,1.0000,100.00
"linking_verb",3,0.0000,61.60,0.0000,58.84,0.0000,61.85,0.3333,54.63,0.0000,67.84,0.0000,26.57,0.0000,58.82,0.3333,77.84
"nominal_adverbials",3,0.0000,54.95,0.0000,69.69,0.0000,59.35,0.0000,41.25,0.3333,75.38,0.0000,58.85,0.0000,51.52,0.3333,83.84
"non_defining_relative_clauses",3,0.0000,32.39,0.0000,39.11,0.0000,55.10,0.0000,53.13,0.0000,60.54,0.0000,12.76,0.0000,51.97,0.0000,63.55
"noun_clauses",3,0.3333,75.05,0.0000,58.25,0.0000,65.66,0.0000,50.75,0.0000,58.99,0.0000,30.48,0.3333,75.05,0.3333,78.24
"optative",3,0.0000,58.15,0.0000,58.47,1.0000,100.00,0.0000,55.37,0.0000,47.00,0.0000,36.11,1.0000,100.00,1.0000,100.00
"passive_voice",3,0.0000,50.98,0.0000,61.17,0.6667,93.20,0.0000,57.94,0.0000,54.05,0.0000,11.28,0.6667,93.20,0.6667,93.20
"past",3,0.3333,61.27,0.3333,50.62,0.6667,87.10,0.3333,56.34,0.0000,36.17,0.3333,82.80,0.3333,61.27,0.6667,93.92
"past_progressive",3,0.0000,70.37,0.0000,62.78,0.6667,91.67,0.6667,85.56,0.0000,40.94,0.0000,12.45,0.0000,70.37,1.0000,100.00
"past_tense",3,0.3333,77.78,0.6667,88.89,0.0000,66.67,0.3333,57.42,0.0000,35.03,0.6667,74.52,0.3333,77.78,0.6667,88.89
"quantitative_prefix",3,0.0000,69.14,0.0000,53.46,0.0000,47.61,0.0000,52.21,0.0000,53.81,0.0000,65.88,0.0000,67.73,0.0000,72.04
"spatial_or_directional_prefix",3,0.3333,76.25,0.0000,46.27,0.0000,64.49,0.0000,62.47,0.0000,58.40,0.3333,60.57,0.3333,79.93,0.3333,85.79
"s_genitive",3,0.6667,81.85,0.6667,88.89,0.0000,86.76,1.0000,100.00,0.0000,66.67,0.6667,73.12,0.6667,94.17,1.0000,100.00
"tag_questions",3,0.0000,57.13,0.0000,53.94,1.0000,100.00,0.0000,67.39,0.0000,47.78,0.0000,11.54,0.6667,87.27,1.0000,100.00
"temporal_prefix",3,0.0000,50.78,0.0000,49.31,0.0000,50.02,0.0000,44.87,0.0000,22.59,0.0000,30.72,0.0000,50.78,0.0000,64.14
"existential_quantifiers",2,1.0000,100.00,0.5000,63.99,0.0000,57.99,0.0000,49.93,0.0000,62.36,0.5000,63.99,1.0000,100.00,1.0000,100.00
"given_known",2,1.0000,100.00,1.0000,100.00,0.0000,63.06,0.0000,46.04,1.0000,100.00,1.0000,100.00,1.0000,100.00,1.0000,100.00
"metaphor",2,0.0000,68.40,0.0000,70.69,0.0000,71.64,0.0000,67.86,0.0000,54.17,0.0000,45.93,0.0000,67.82,0.0000,75.45
"representative",2,0.0000,42.12,0.0000,42.12,0.0000,34.34,0.0000,25.46,0.5000,82.95,0.0000,70.51,0.0000,42.12,0.5000,83.33
"spatial",2,0.0000,57.35,0.0000,53.57,0.0000,49.16,0.5000,63.00,0.0000,35.16,0.5000,95.88,0.0000,57.35,0.5000,95.88
"temporal",2,0.0000,74.27,0.0000,80.79,0.5000,75.93,0.0000,41.06,0.5000,85.49,0.5000,57.99,0.0000,74.27,1.0000,100.00
"transitive_verb",2,0.5000,83.33,0.5000,87.50,1.0000,100.00,1.0000,100.00,0.5000,83.33,0.0000,75.83,0.5000,83.33,1.0000,100.00
"coordination",1,1.0000,100.00,0.0000,58.76,0.0000,23.95,0.0000,57.87,0.0000,63.81,0.0000,14.35,1.0000,100.00,1.0000,100.00
